품사,단어,합계,0. 序幕 — 問 하늘에 묻다_v99,1. 공리_v99,2. 허실_v99,3. 극한과 무한_v99,4. 곡률_v99,5. 대칭_v99,6. 불완전성_v99,7. 운동_v99,8. 장_v99,9. 동시성_v99,10. 휨_v99,11. 엔트로피_v99,12. 혼돈_v99,13. 양자_v99,14. 파동과 확률_v99,15. 불확정성_v99,16. 경로_v99,17. 얽힘_v99,18. 측정_v99,19. 깨짐_v99,20. 입자_v99,21. 빅뱅_v99,22. 암흑_v99,23. 초끈_v99,24. 다중우주_v99,25. 원자_v99,26. 결합_v99,27. 문턱_v99,28. 핵_v99,29. 세포_v99,30. 진화_v99,31. 뇌_v99,32. 의식_v99,33. 정보_v99,34. 계산_v99,35. 인공지능_v99,36. 양자계산_v99,37. 시간_v99,38. 실재_v99,39. 인식_v99,40. 의지_v99,41. 이성_v99,42. 해체_v99,43. 경계_v99,44. 침묵_v99,45. 음계_v99,46. 산조_v99,47. 시_v99,48. 비극_v99,49. 미술_v99,50. 건축_v99,51. 우주_v99,52. 공존_v99,53. 인간_v99,"54. 終幕 — 答 다시, 하늘에 묻다_v99"
연결어미,지,441,7,12,5,6,5,15,11,10,10,4,12,13,7,7,3,9,7,7,6,9,6,6,14,7,6,7,8,2,9,10,10,10,7,6,11,8,5,13,8,10,8,8,7,4,10,12,9,4,10,6,8,5,4,16,2
관형사형어미,ᆯ,410,8,11,6,12,9,2,15,10,3,6,3,10,4,6,13,11,3,8,8,4,0,3,5,7,16,12,9,6,5,5,4,8,7,9,14,12,9,6,8,13,10,9,4,5,15,13,1,3,4,5,6,10,5,6,4
부사격조사,으로,410,2,3,9,9,13,3,5,10,11,11,6,11,5,7,4,10,6,9,11,8,8,9,4,11,7,2,9,6,8,6,8,4,6,7,9,7,11,9,11,8,8,6,9,4,9,7,7,5,7,10,13,5,5,8,4
의존명사,것,410,6,3,10,8,10,10,6,9,7,6,5,9,5,8,12,2,6,9,2,4,3,8,6,9,7,7,6,12,7,12,17,8,13,9,7,8,6,6,15,4,11,6,6,4,10,9,4,6,4,9,9,6,4,8,7
보조사,도,366,7,7,4,11,7,7,5,7,10,7,2,10,8,4,7,6,6,3,3,5,4,11,10,7,6,9,11,8,10,6,8,6,7,6,6,14,7,7,6,5,8,7,4,4,7,7,7,4,9,2,6,6,3,9,3
보조용언,않,361,4,10,4,3,4,14,9,10,10,4,10,8,7,6,1,9,6,5,5,8,4,5,11,6,3,5,7,2,3,10,8,4,5,4,9,7,4,11,8,8,6,7,6,4,10,12,9,4,7,5,7,3,4,14,2
동사파생접미사,되,332,3,6,5,6,2,10,12,8,4,8,4,4,6,6,11,7,3,6,12,11,5,3,5,5,11,6,9,6,4,9,5,4,8,6,6,4,6,5,9,8,3,7,14,5,5,3,5,4,2,5,5,5,6,3,2
보조용언,있,303,3,5,2,4,5,5,3,7,12,4,8,3,7,3,5,9,2,6,9,4,8,9,7,6,7,5,3,6,9,8,4,3,5,5,3,2,8,8,10,4,3,2,10,8,5,6,6,3,2,4,6,7,8,3,4
연결어미,게,289,6,3,6,8,4,7,2,6,7,12,8,5,3,7,7,10,12,4,3,6,3,6,3,6,2,3,2,0,3,4,2,3,5,0,5,5,4,8,5,7,2,1,4,5,3,12,17,8,2,9,13,4,2,5,0
의존명사,수,263,8,7,11,12,5,2,13,6,1,4,2,7,5,3,8,9,2,9,6,2,0,3,1,4,11,3,1,4,2,3,0,1,5,4,16,1,5,2,8,9,4,6,1,6,16,4,1,4,2,1,1,3,3,2,4
명사파생접미사,들,261,1,9,6,6,2,9,4,3,4,0,0,4,1,3,8,3,10,7,4,12,15,7,8,4,6,6,7,1,5,5,2,7,0,5,3,4,2,4,7,5,0,1,5,4,5,7,3,1,5,2,8,8,4,5,4
부사격조사,로,256,2,4,3,0,4,4,7,7,2,2,10,5,3,6,5,7,2,3,10,9,7,5,4,4,2,4,5,3,7,6,4,8,6,8,7,2,5,6,3,6,8,3,3,6,5,6,1,2,2,2,8,7,3,3,0
관형사,이,256,0,6,3,9,4,5,11,7,6,6,6,4,4,7,5,4,5,4,4,7,10,5,4,7,9,6,8,3,2,7,6,3,8,4,9,4,4,4,5,3,5,2,4,2,2,1,1,5,1,4,0,3,5,3,0
명사파생접미사,적,256,0,4,7,1,7,2,4,2,6,6,3,9,6,3,6,3,4,12,11,10,2,6,4,5,8,1,5,2,0,7,2,9,3,4,2,5,9,6,8,6,5,4,11,4,4,4,4,2,4,2,1,3,3,5,0
형용사,없,238,3,2,7,7,2,2,15,5,4,4,4,5,4,3,5,9,2,8,4,3,2,4,5,1,7,2,2,4,3,3,2,4,5,1,5,7,2,5,10,7,3,6,4,9,14,0,2,7,2,1,0,2,2,3,4
부정지정사(아니다),아니,217,1,4,1,3,5,3,1,0,2,2,4,4,6,6,2,7,6,3,3,3,5,10,3,7,6,6,3,5,2,5,4,4,3,8,4,5,9,2,7,1,3,2,5,9,8,4,1,1,1,4,4,3,1,4,2
수사,하나,208,0,8,1,2,1,1,2,3,7,3,2,3,2,10,1,5,10,7,7,7,9,2,1,10,11,12,4,1,3,1,5,7,3,6,1,0,7,3,6,5,1,2,2,3,2,3,2,2,0,2,1,1,4,2,2
보조용언,지,204,0,4,2,5,4,4,4,2,6,2,0,6,2,5,1,6,4,5,4,3,6,6,7,3,0,6,8,8,6,2,6,1,5,2,5,4,6,2,3,1,3,7,4,3,3,2,4,5,1,6,2,2,2,2,2
명사형어미,기,197,3,0,6,5,6,8,0,2,2,6,3,5,1,4,3,4,4,1,7,3,1,4,4,3,2,2,3,4,3,7,7,5,1,3,1,2,1,6,4,4,8,10,5,4,4,4,3,3,2,4,4,2,2,1,1
접속조사,과,186,1,2,5,3,1,3,3,4,2,7,4,3,1,2,0,1,3,2,2,2,6,2,4,5,2,2,6,8,8,6,1,5,7,3,1,6,1,2,2,2,3,3,8,4,1,0,2,4,3,3,16,2,4,3,0
종결어미,는다,180,0,1,0,4,3,3,4,1,1,6,3,6,4,0,1,2,4,4,3,3,4,1,2,2,2,3,3,2,1,4,3,3,1,5,2,4,3,8,1,6,5,2,5,3,4,5,8,9,3,4,5,1,2,9,2
보격조사,이,174,0,3,0,4,3,3,7,1,2,3,3,1,4,5,2,4,4,3,2,3,4,6,3,3,2,4,6,6,2,4,4,3,4,3,2,3,4,2,6,1,2,3,2,9,4,2,2,1,2,3,6,2,2,4,1
