어휘,품사,전체 빈도
실제,일반명사,12
태어나,동사,12
이어지,동사,12
회전,일반명사,12
간섭,일반명사,12
찰나,일반명사,12
행성,일반명사,12
틈,일반명사,12
명제,일반명사,12
구체,일반명사,12
인식,일반명사,12
늘어나,동사,12
모이,동사,12
공기,일반명사,12
한쪽,일반명사,12
공,일반명사,12
모형,일반명사,12
이전,일반명사,12
철학,일반명사,12
채우,동사,12
포착,일반명사,12
줄,일반명사,12
태양,일반명사,12
알갱이,일반명사,12
삶,일반명사,12
시,일반명사,12
양,일반명사,11
밀어붙이,동사,11
슈뢰딩거,고유명사,11
단위,일반명사,11
중첩,일반명사,11
보존,일반명사,11
지도,일반명사,11
이성,일반명사,11
넣,동사,11
관계,일반명사,11
오차,일반명사,11
결,일반명사,11
당시,일반명사,11
괴델,고유명사,11
쓰이,동사,11
설계도,일반명사,11
내놓,동사,11
열,일반명사,11
성립,일반명사,11
방법,일반명사,11
숨,동사,11
상식,일반명사,11
쉬,동사,11
행동,일반명사,11
맞,동사,11
확정,일반명사,11
장치,일반명사,11
날,일반명사,11
설계,일반명사,11
지능,일반명사,11
약속,일반명사,10
사유,일반명사,10
땅,일반명사,10
허락,일반명사,10
단계,일반명사,10
풍경,일반명사,10
모습,일반명사,10
평면,일반명사,10
기호,일반명사,10
일부,일반명사,10
곡선,일반명사,10
조각,일반명사,10
안개,일반명사,10
압축,일반명사,10
증거,일반명사,10
강하,형용사,10
재,동사,10
쌓,동사,10
필연,일반명사,10
혼돈,일반명사,10
장면,일반명사,10
떠나,동사,10
틀리,동사,10
문턱,일반명사,10
달리,동사,10
돌,일반명사,10
나무,일반명사,10
전달,일반명사,10
바라보,동사,10
보내,동사,10
어긋나,동사,10
신,일반명사,10
의지,일반명사,10
가설,일반명사,10
숨,일반명사,10
얽히,동사,10
커지,동사,10
행위,일반명사,10
재료,일반명사,10
폭발,일반명사,10
표준,일반명사,10
구성,일반명사,10
앎,일반명사,10
생존,일반명사,10
튜링,고유명사,10
나머지,일반명사,9
중심,일반명사,9
실패,일반명사,9
종이,일반명사,9
휘,동사,9
가정,일반명사,9
넓,형용사,9
나누,동사,9
진실,일반명사,9
주기,일반명사,9
위상,일반명사,9
낳,동사,9
올리,동사,9
오류,일반명사,9
정확,일반명사,9
길이,일반명사,9
담,동사,9
살아남,동사,9
걸치,동사,9
운동량,일반명사,9
지나가,동사,9
궤적,일반명사,9
경우,일반명사,9
벗어나,동사,9
각자,일반명사,9
줄어들,동사,9
철,일반명사,9
진동,일반명사,9
고리,일반명사,9
멀,형용사,9
약하,형용사,9
상호,일반명사,9
함수,일반명사,9
선명,일반명사,9
탄소,일반명사,9
스스로,일반명사,9
다중,일반명사,9
건축,일반명사,8
알리,동사,8
반대,일반명사,8
공리,일반명사,8
가속,일반명사,8
사과,일반명사,8
밀어내,동사,8
등장,일반명사,8
허수,일반명사,8
붙,동사,8
미시,일반명사,8
핵심,일반명사,8
출발,일반명사,8
구하,동사,8
꿈,일반명사,8
참,일반명사,8
거짓,일반명사,8
만약,일반명사,8
옮기,동사,8
빠지,동사,8
모양,일반명사,8
돌리,동사,8
비우,동사,8
통계,일반명사,8
새기,동사,8
거시,일반명사,8
돌아오,동사,8
회로,일반명사,8
똑같,형용사,8
시계,일반명사,8
삼,동사,8
너머,일반명사,8
나,일반명사,8
투명,일반명사,8
블랙홀,일반명사,8
떨리,동사,8
연속,일반명사,8
논문,일반명사,8
무늬,일반명사,8
통과,일반명사,8
종류,일반명사,8
통하,동사,8
복사,일반명사,8
상자,일반명사,8
독립,일반명사,8
탄생,일반명사,8
문,일반명사,8
생명체,일반명사,8
조금,일반명사,8
신뢰,일반명사,8
예상,일반명사,8
단백질,일반명사,8
종,일반명사,8
들여다보,동사,8
능력,일반명사,8
위험,일반명사,8
음악,일반명사,8
순환,일반명사,8
현대,일반명사,8
정리,일반명사,7
집합,일반명사,7
합,일반명사,7
균열,일반명사,7
실수,일반명사,7
해,일반명사,7
닫히,동사,7
숫자,일반명사,7
물음,일반명사,7
탐구,일반명사,7
최종,일반명사,7
주어지,동사,7
인지,일반명사,7
서울,고유명사,7
공평,일반명사,7
죽,동사,7
떠오르,동사,7
들어오,동사,7
휘어지,동사,7
