어휘,품사,전체 빈도
아리스토텔레스,고유명사,2
단단하,형용사,2
통일,일반명사,2
짚,동사,2
내밀,동사,2
걸어가,동사,2
눌리,동사,2
뒤편,일반명사,2
별빛,일반명사,2
올려놓,동사,2
촘촘하,형용사,2
오그라들,동사,2
뒤틀리,동사,2
손바닥,일반명사,2
둘러싸,동사,2
삼키,동사,2
찍히,동사,2
인,일반명사,2
손가락,일반명사,2
꺾이,동사,2
분광기,고유명사,2
띠,일반명사,2
중반,일반명사,2
뛰어내리,동사,2
해당,일반명사,2
드 브로이,고유명사,2
귀퉁이,일반명사,2
튕기,동사,2
둘레,일반명사,2
맞물리,동사,2
설정,일반명사,2
과제,일반명사,2
스크린,일반명사,2
특유,일반명사,2
편,일반명사,2
평생,일반명사,2
불확정성,고유명사,2
포물선,일반명사,2
떠돌,동사,2
리처드,고유명사,2
훑,동사,2
정반대,일반명사,2
이중슬릿,일반명사,2
기여,일반명사,2
저마다,일반명사,2
화살표,일반명사,2
합계,일반명사,2
작업,일반명사,2
검토,일반명사,2
지탱,일반명사,2
가늠,일반명사,2
본성,일반명사,2
찌르,동사,2
반동,일반명사,2
거두,동사,2
제한,일반명사,2
쌍,일반명사,2
알아내,동사,2
자국,일반명사,2
연기,일반명사,2
새,동사,2
사정,일반명사,2
깨짐,고유명사,2
열복사,고유명사,2
여부,일반명사,2
상처,일반명사,2
모름,고유명사,2
영향,일반명사,2
떼,동사,2
상관,일반명사,2
수직,일반명사,2
답안지,일반명사,2
연구소,일반명사,2
의도,일반명사,2
간직,일반명사,2
만물,일반명사,2
젖히,동사,2
난로,일반명사,2
달구,동사,2
자외선,일반명사,2
플랑크,고유명사,2
튀어나오,동사,2
떨,동사,2
미,일반명사,2
매혹,일반명사,2
솟아오르,동사,2
파,동사,2
사용,일반명사,2
도출,일반명사,2
노력,일반명사,2
대형,일반명사,2
강입자,일반명사,2
폐기,일반명사,2
승,일반명사,2
각각,일반명사,2
조율,일반명사,2
전자기력,일반명사,2
부산물,일반명사,2
급팽창,일반명사,2
시나리오,일반명사,2
형이상학,일반명사,2
전환,일반명사,2
마침표,일반명사,2
편견,일반명사,2
인정,일반명사,2
스펙트럼,일반명사,2
거스르,동사,2
올라가,동사,2
안테나,일반명사,2
계절,일반명사,2
후,일반명사,2
지나치,형용사,2
광속,일반명사,2
집단,일반명사,2
박제,일반명사,2
우주상수,고유명사,2
천문학자,일반명사,2
외곽,일반명사,2
정상,일반명사,2
흡수,일반명사,2
골격,일반명사,2
연구,일반명사,2
이정표,일반명사,2
대면,일반명사,2
얼음,일반명사,2
메커니즘,일반명사,2
보손,고유명사,2
앉,동사,2
눈물,일반명사,2
반세기,일반명사,2
정작,일반명사,2
공동,일반명사,2
묘하,형용사,2
식탁,일반명사,2
무기물,일반명사,2
일시,일반명사,2
울,동사,2
밀러,고유명사,2
흉내,일반명사,2
플라스크,일반명사,2
빼,동사,2
부품,일반명사,2
매듭,일반명사,2
푸,동사,2
공장,일반명사,2
소용돌이,일반명사,2
가르,동사,2
이득,일반명사,2
자발,일반명사,2
협상,일반명사,2
모래알,일반명사,2
중성자,일반명사,2
핵융합,고유명사,2
오토,고유명사,2
간파,일반명사,2
윤리,일반명사,2
제어,일반명사,2
폐기물,일반명사,2
걱정,일반명사,2
분류,일반명사,2
서랍,일반명사,2
원소,고유명사,2
늘어놓,동사,2
화학자,일반명사,2
표정,일반명사,2
량,일반명사,2
바깥쪽,일반명사,2
넘치,동사,2
풀어내,동사,2
예외,일반명사,2
삽화,일반명사,2
등,일반명사,2
펴,동사,2
주입,일반명사,2
오해,일반명사,2
침팬지,일반명사,2
세계관,일반명사,2
인하,동사,2
냉정,일반명사,2
먹이,일반명사,2
컵,일반명사,2
피부,일반명사,2
느낌,일반명사,2
인칭,일반명사,2
자동,일반명사,2
편집실,일반명사,2
나라,일반명사,2
잠기,동사,2
본능,일반명사,2
명령,일반명사,2
생물학,일반명사,2
훈련,일반명사,2
전두엽,일반명사,2
피질,일반명사,2
시냅스,일반명사,2
기반,일반명사,2
중추,일반명사,2
두개골,일반명사,2
살아가,동사,2
늘리,동사,2
편향,일반명사,2
도약,일반명사,2
깨어나,동사,2
인물,일반명사,2
왓슨,고유명사,2
이중,일반명사,2
나선,고유명사,2
내장,일반명사,2
세포막,일반명사,2
입장,일반명사,2
비트,일반명사,2
이용,일반명사,2
키우,동사,2
소인수,일반명사,2
클로드 섀넌,고유명사,2
맑,형용사,2
균등,일반명사,2
취하,동사,2
알아채,동사,2
대답,일반명사,2
농담,일반명사,2
삭제,일반명사,2
골라내,동사,2
이세돌,고유명사,2
수련,일반명사,2
잊,동사,2
텍스트,일반명사,2
우산,일반명사,2
문구,일반명사,2
분노,일반명사,2
출력,일반명사,2
창발,고유명사,2
동작,일반명사,2
코드,일반명사,2
만능,일반명사,2
무심,일반명사,2
영상,일반명사,2
환상,일반명사,2
영혼,일반명사,2
단언,일반명사,2
이마누엘 칸트,고유명사,2
글,일반명사,2
여름,일반명사,2
수사,일반명사,2
묘사,일반명사,2
벼랑,일반명사,2
담아내,동사,2
이미지,일반명사,2
겨누,동사,2
조립,일반명사,2
욕망,일반명사,2
수행자,일반명사,2
옅,형용사,2
신경학,일반명사,2
무아,일반명사,2
집착,일반명사,2
책임,일반명사,2
준비,일반명사,2
전위,일반명사,2
충동,일반명사,2
끊,동사,2
실존,일반명사,2
짊어지,동사,2
태도,일반명사,2
영양분,일반명사,2
말씀,일반명사,2
계몽,일반명사,2
이치,일반명사,2
원효,고유명사,2
결핍,일반명사,2
임시,일반명사,2
흐리,형용사,2
버클리,고유명사,2
국소,일반명사,2
반박,일반명사,2
연주자,일반명사,2
진동수,일반명사,2
높이,일반명사,2
두께,일반명사,2
장단,일반명사,2
모리,일반명사,2
폭,일반명사,2
조이,동사,2
곡,일반명사,2
들려주,동사,2
늦추,동사,2
숨결,일반명사,2
오이디푸스,고유명사,2
도망치,동사,2
관객,일반명사,2
연민,일반명사,2
시시각각,일반명사,2
최선,일반명사,2
온몸,일반명사,2
회화,일반명사,2
인상파,일반명사,2
끼,동사,2
입체파,일반명사,2
고민,일반명사,2
스며들,동사,2
수의,일반명사,2
집,일반명사,2
작아지,동사,2
박물관,일반명사,2
끊기,동사,2
설득,일반명사,2
판테온,고유명사,2
머리,일반명사,2
덕분,일반명사,2
고딕,일반명사,2
기운,일반명사,2
산문,일반명사,2
전쟁,일반명사,2
강남,고유명사,2
꽃,일반명사,2
시골,일반명사,2
별자리,일반명사,2
황소,일반명사,2
잔해,일반명사,2
당장,일반명사,2
토양,일반명사,2
미생물,일반명사,2
모래성,일반명사,2
파도,일반명사,2
마시,동사,2
내뱉,동사,2
생태,일반명사,2
원론,일반명사,1
알렉산드리아,고유명사,1
한데,일반명사,1
끌어내,동사,1
선분,일반명사,1
얼마,일반명사,1
임의,일반명사,1
반지름,일반명사,1
분위기,일반명사,1
안장,일반명사,1
아이작 뉴턴,고유명사,1
외,일반명사,1
영하,일반명사,1
유용,일반명사,1
일원,일반명사,1
막히,동사,1
이면,일반명사,1
찾아오,동사,1
이탈리아,고유명사,1
지롤라모,고유명사,1
해법,일반명사,1
제곱근,일반명사,1
양수,일반명사,1
멀쩡하,형용사,1
일어서,동사,1
낙인,일반명사,1
개,일반명사,1
정거장,일반명사,1
교류,일반명사,1
공학,일반명사,1
전압,일반명사,1
편의,일반명사,1
발붙이,동사,1
톱니바퀴,일반명사,1
고독,일반명사,1
스티븐,고유명사,1
우회,일반명사,1
뒤따르,동사,1
반열,일반명사,1
추격,일반명사,1
끝내,동사,1
라이프니츠,고유명사,1
넓이,일반명사,1
포탄,일반명사,1
낙하,일반명사,1
해명,일반명사,1
카를,고유명사,1
바이어슈트라스,고유명사,1
1,고유명사,1
짧아지,동사,1
게오르크 칸토어,고유명사,1
급,일반명사,1
짝수,일반명사,1
짝짓기,일반명사,1
대등,일반명사,1
격,일반명사,1
매기,동사,1
번호표,일반명사,1
유한,고유명사,1
꾸,동사,1
거르,동사,1
다비트,고유명사,1
야심,일반명사,1
우리,일반명사,1
쿠르트 괴델,고유명사,1
달성,일반명사,1
신기루,일반명사,1
깨끗하,형용사,1
보장,일반명사,1
올바르,형용사,1
보증인,일반명사,1
왼손,일반명사,1
오른손,일반명사,1
예쁘,형용사,1
파리,고유명사,1
에바리스트,고유명사,1
시간문제,일반명사,1
근,일반명사,1
만족,일반명사,1
결투,일반명사,1
앞두,동사,1
이튿날,일반명사,1
아침,일반명사,1
알려지,동사,1
조제프,고유명사,1
리우빌,고유명사,1
알아보,동사,1
유희,일반명사,1
군론,고유명사,1
해독,일반명사,1
변모,일반명사,1
에미 뇌터,고유명사,1
물리량,고유명사,1
날짜,일반명사,1
동쪽,일반명사,1
서쪽,일반명사,1
팽이,일반명사,1
기울어지,동사,1
자전,일반명사,1
불변,일반명사,1
드리우,동사,1
허실,일반명사,1
무한,고유명사,1
수평선,일반명사,1
적도,일반명사,1
평행,일반명사,1
맞닿,동사,1
평평하,형용사,1
비하,동사,1
외재,일반명사,1
내려다보,동사,1
카를 프리드리히 가우스,고유명사,1
삼각,일반명사,1
초과,일반명사,1
구면,일반명사,1
베른하르트 리만,고유명사,1
구축,일반명사,1
지위,일반명사,1
대원,일반명사,1
뉴욕,고유명사,1
북극해,고유명사,1
근처,일반명사,1
제작,일반명사,1
면적,일반명사,1
일그러지,동사,1
찢,동사,1
대체,일반명사,1
제작자,일반명사,1
미분,일반명사,1
구형,일반명사,1
잎사귀,일반명사,1
물방울,일반명사,1
벌집,일반명사,1
추상,일반명사,1
상상력,일반명사,1
산물,일반명사,1
굴절,일반명사,1
동시성,고유명사,1
휨,고유명사,1
커피,일반명사,1
카톡,고유명사,1
향수,일반명사,1
뚜껑,일반명사,1
향,일반명사,1
구석구석,일반명사,1
향기,일반명사,1
병,일반명사,1
당하,동사,1
생,일반명사,1
마감,일반명사,1
브라운,일반명사,1
바티스트,고유명사,1
페랭,고유명사,1
통계역학,고유명사,1
복권,일반명사,1
바둑판,일반명사,1
가짓수,일반명사,1
잉크병,일반명사,1
화살,일반명사,1
타오르,동사,1
불,동사,1
강,일반명사,1
초상,일반명사,1
돌이키,동사,1
비관,일반명사,1
평균,일반명사,1
꿰뚫,동사,1
지성,일반명사,1
재난,일반명사,1
계산기,일반명사,1
번갈,동사,1
올해,일반명사,1
내년,일반명사,1
프랙탈,일반명사,1
학자,일반명사,1
에드워드 로렌츠,고유명사,1
날씨,일반명사,1
과장,일반명사,1
가로막,동사,1
신뢰도,일반명사,1
지수,일반명사,1
로렌츠,고유명사,1
맴돌,동사,1
끌개,고유명사,1
파이겐바움,일반명사,1
절정,일반명사,1
유체,일반명사,1
금요일,일반명사,1
종로,고유명사,1
가,일반명사,1
관성,일반명사,1
광원,일반명사,1
무관하,형용사,1
버리,동사,1
분모,일반명사,1
천장,일반명사,1
위아래,일반명사,1
왕복,일반명사,1
대각선,일반명사,1
플랫폼,일반명사,1
정,일반명사,1
뒤쪽,일반명사,1
순차,일반명사,1
잡아내,동사,1
지연,일반명사,1
곱하,동사,1
함의,일반명사,1
등속,일반명사,1
편입,일반명사,1
친숙,일반명사,1
마그네시아,고유명사,1
검,형용사,1
진액,일반명사,1
문지르,동사,1
지푸라기,일반명사,1
지명,일반명사,1
한스,고유명사,1
크리스티안,고유명사,1
외르스테드,고유명사,1
바늘,일반명사,1
마이클,고유명사,1
코일,일반명사,1
통념,일반명사,1
정식,일반명사,1
교육,일반명사,1
제임스 클러크 맥스웰,고유명사,1
징검다리,일반명사,1
하인리히 헤르츠,고유명사,1
튀기,동사,1
전자기파,일반명사,1
대서양,고유명사,1
전송,일반명사,1
라디오,일반명사,1
스마트폰,일반명사,1
그릇,일반명사,1
고등학교,일반명사,1
학년,일반명사,1
선생,일반명사,1
칠판,일반명사,1
세,형용사,1
가속도,일반명사,1
제각각,일반명사,1
신성,일반명사,1
제자리,일반명사,1
애초,일반명사,1
선포,일반명사,1
천왕성,고유명사,1
위르뱅 르베리에,고유명사,1
정도,일반명사,1
해왕성,일반명사,1
펜,일반명사,1
톱니,일반명사,1
밝혀지,동사,1
정교하,형용사,1
숙제,일반명사,1
창문,일반명사,1
따라오,동사,1
직진,일반명사,1
올라오,동사,1
측지선,고유명사,1
개기,일반명사,1
일식,일반명사,1
고무,일반명사,1
변형,일반명사,1
구부러지,동사,1
밧줄,일반명사,1
내버리,동사,1
상공,일반명사,1
초속,일반명사,1
밀,일반명사,1
벌이,동사,1
마이크로,일반명사,1
내비게이션,일반명사,1
극단,일반명사,1
임계,고유명사,1
궁수자리,고유명사,1
부피,일반명사,1
중력파,일반명사,1
호수,일반명사,1
물결,일반명사,1
유산,일반명사,1
무지개,일반명사,1
칠흑,일반명사,1
배후,일반명사,1
닐스 보어,고유명사,1
루이,고유명사,1
박사,일반명사,1
물질파,고유명사,1
심사,일반명사,1
위원,일반명사,1
평가,일반명사,1
의견,일반명사,1
베일,일반명사,1
기타,일반명사,1
정수배,일반명사,1
정상파,고유명사,1
알프스,고유명사,1
산장,일반명사,1
틀어박히,동사,1
구슬,일반명사,1
입체,일반명사,1
막스 보른,고유명사,1
동전,일반명사,1
동의,일반명사,1
보른,일반명사,1
지름길,일반명사,1
우회로,일반명사,1
사명,일반명사,1
실마리,일반명사,1
폴 디랙,고유명사,1
메모,일반명사,1
물론,일반명사,1
갈지자,일반명사,1
도착지,일반명사,1
끝점,일반명사,1
뚫리,동사,1
비슷하,형용사,1
보태,동사,1
적분,고유명사,1
타원,일반명사,1
소거,일반명사,1
최후,일반명사,1
생존자,일반명사,1
자취,일반명사,1
잔상,일반명사,1
당혹감,일반명사,1
감추,동사,1
터무니없,형용사,1
반문,일반명사,1
막후,일반명사,1
선풍기,일반명사,1
고속,일반명사,1
카메라,일반명사,1
이번,일반명사,1
정복,일반명사,1
베르너,고유명사,1
코펜하겐,고유명사,1
밤거리,일반명사,1
교란,일반명사,1
서투르,형용사,1
기인,일반명사,1
주사위,일반명사,1
놀이,일반명사,1
냉소,일반명사,1
유명,일반명사,1
학회,일반명사,1
용수철,일반명사,1
물리,동사,1
단기,일반명사,1
대출,일반명사,1
갚,동사,1
밀리,동사,1
카시미르,고유명사,1
곤혹,일반명사,1
뒤바뀌,동사,1
관건,일반명사,1
안톤,고유명사,1
차일링거,고유명사,1
그룹,일반명사,1
축구공,일반명사,1
강력,일반명사,1
생사,일반명사,1
결부,일반명사,1
벽면,일반명사,1
회복,일반명사,1
치명타,일반명사,1
굳어지,동사,1
원격,일반명사,1
변신,일반명사,1
차이,동사,1
기울이,동사,1
작성,일반명사,1
존,고유명사,1
엔지니어,일반명사,1
본업,일반명사,1
그르,형용사,1
판별,일반명사,1
아이디어,일반명사,1
부등식,일반명사,1
알랭 아스페,고유명사,1
기각,일반명사,1
뛰어넘,동사,1
즉각,일반명사,1
수단,일반명사,1
자부,일반명사,1
전자기학,고유명사,1
저명,일반명사,1
켈빈,고유명사,1
가열,일반명사,1
납득,일반명사,1
X선,일반명사,1
파탄,일반명사,1
막스 플랑크,고유명사,1
묶음,일반명사,1
비싸,형용사,1
기뻐하,동사,1
편법,일반명사,1
광,일반명사,1
밝,형용사,1
요지부동,일반명사,1
바이올린,일반명사,1
레,일반명사,1
떠,동사,1
쿼크,일반명사,1
골칫거리,일반명사,1
해소,일반명사,1
그동안,일반명사,1
초대,일반명사,1
전선도,일반명사,1
기어가,동사,1
개미,일반명사,1
접근,일반명사,1
자릿수,일반명사,1
앤드루 스트로민저,고유명사,1
쿠마룬,고유명사,1
바,일반명사,1
교차로,일반명사,1
화답,일반명사,1
유럽입자물리연구소,고유명사,1
초대칭,고유명사,1
불어나,동사,1
대안,일반명사,1
추구,일반명사,1
발걸음,일반명사,1
개수,일반명사,1
꼬이,동사,1
파격,일반명사,1
부상,일반명사,1
조정,일반명사,1
돌파,일반명사,1
표본,일반명사,1
사례,일반명사,1
알맞,형용사,1
대꾸,일반명사,1
전략,일반명사,1
단절,일반명사,1
반증,일반명사,1
따라붙,동사,1
비난,일반명사,1
옹호,일반명사,1
희박하,형용사,1
진영,일반명사,1
구역,일반명사,1
통용,일반명사,1
지역,일반명사,1
관습,일반명사,1
통계학,일반명사,1
정립,일반명사,1
지지,일반명사,1
우주관,일반명사,1
맞서,동사,1
척,일반명사,1
인위,일반명사,1
벨기에,고유명사,1
신부,일반명사,1
조르주 르메트르,고유명사,1
되감,동사,1
원시,일반명사,1
신학,일반명사,1
에드윈,고유명사,1
허블,고유명사,1
종지부,일반명사,1
붉은색,일반명사,1
치우치,동사,1
적색,일반명사,1
풍선,일반명사,1
생애,일반명사,1
최대,일반명사,1
탄식,일반명사,1
화석,일반명사,1
뉴저지,고유명사,1
전파,일반명사,1
연구자,일반명사,1
시달리,동사,1
비둘기,일반명사,1
둥지,일반명사,1
틀,동사,1
새,일반명사,1
배설물,일반명사,1
소음,일반명사,1
최초,일반명사,1
마이크로파,고유명사,1
초월,일반명사,1
위배,일반명사,1
씨앗,일반명사,1
맥박,일반명사,1
교차,일반명사,1
오답,일반명사,1
베라 루빈,고유명사,1
공전,일반명사,1
원천,일반명사,1
은하,고유명사,1
뒤엎,동사,1
폭주,일반명사,1
원심력,일반명사,1
부족,일반명사,1
루빈,고유명사,1
여성,일반명사,1
한몫,일반명사,1
행사,일반명사,1
도사리,동사,1
중력렌즈,고유명사,1
역산,일반명사,1
꺾,동사,1
총량,일반명사,1
명명,일반명사,1
총알,일반명사,1
연출,일반명사,1
들러붙,동사,1
무시,일반명사,1
엉키,동사,1
반사,일반명사,1
궤,일반명사,1
잉여,일반명사,1
궁극,일반명사,1
건축가,일반명사,1
뭉치,동사,1
짜,동사,1
구르,동사,1
슈퍼,일반명사,1
거푸집,일반명사,1
후반,일반명사,1
팀,일반명사,1
초신성,일반명사,1
인력,일반명사,1
정체불명,일반명사,1
희석,일반명사,1
태생,일반명사,1
억누르,동사,1
우위,일반명사,1
점하,동사,1
유력,일반명사,1
후보,일반명사,1
암흑물질,고유명사,1
의,일반명사,1
탁자,일반명사,1
지면,일반명사,1
간극,일반명사,1
추락,일반명사,1
고체,일반명사,1
상전,일반명사,1
자성,일반명사,1
평등,일반명사,1
남극,고유명사,1
고착,일반명사,1
눈송이,일반명사,1
육각형,일반명사,1
냉각,일반명사,1
상전이,고유명사,1
촉발,일반명사,1
융합,일반명사,1
분화,일반명사,1
사투리,일반명사,1
피터 힉스,고유명사,1
날아다니,동사,1
유혹,일반명사,1
검출,일반명사,1
강당,일반명사,1
봉우리,일반명사,1
청중석,일반명사,1
훔치,동사,1
별명,일반명사,1
형체,일반명사,1
벽돌,일반명사,1
마법,일반명사,1
교신,일반명사,1
굵,형용사,1
낭비,일반명사,1
도감,일반명사,1
매개,일반명사,1
눈부시,형용사,1
시리,형용사,1
빅뱅,고유명사,1
초끈,고유명사,1
다중우주,고유명사,1
길가,일반명사,1
매미,일반명사,1
떠나가,동사,1
갈색,일반명사,1
껍데기,일반명사,1
빠져나가,동사,1
먹,동사,1
칼,일반명사,1
베,동사,1
완만하,형용사,1
대학원,일반명사,1
스탠리,고유명사,1
혼합물,일반명사,1
방전,일반명사,1
교수,일반명사,1
해럴드 유리,고유명사,1
유의미,일반명사,1
일주일,일반명사,1
유리,고유명사,1
학생,일반명사,1
혼자,일반명사,1
공로,일반명사,1
조합,일반명사,1
갖추,동사,1
전수,일반명사,1
월드,일반명사,1
공급,일반명사,1
이력,일반명사,1
획득,일반명사,1
비탈길,일반명사,1
비탈,일반명사,1
보호,일반명사,1
전쟁터,일반명사,1
독가스,일반명사,1
희,형용사,1
순하,형용사,1
납,일반명사,1
연금술사,일반명사,1
재편,일반명사,1
축,일반명사,1
모자라,동사,1
내리막,일반명사,1
사이좋,형용사,1
소유,일반명사,1
점유,일반명사,1
끌리,동사,1
맞부딪치,동사,1
낮추,동사,1
성사,일반명사,1
깁스,일반명사,1
비용,일반명사,1
더하,동사,1
끓,동사,1
수증기,일반명사,1
파기,일반명사,1
합의문,일반명사,1
요리,일반명사,1
소화도,고유명사,1
곳곳,일반명사,1
정육면체,일반명사,1
치열,일반명사,1
원자가,고유명사,1
축구,일반명사,1
경기장,일반명사,1
밀집,일반명사,1
감옥,일반명사,1
양전기,일반명사,1
반발력,일반명사,1
사정거리,일반명사,1
결손,일반명사,1
비교,일반명사,1
부근,일반명사,1
베를린,고유명사,1
도중,일반명사,1
바륨,고유명사,1
망명,일반명사,1
리제 마이트너,고유명사,1
마이트너,일반명사,1
덮이,동사,1
조카,일반명사,1
프리쉬,고유명사,1
밑둥,일반명사,1
방울,일반명사,1
원래,일반명사,1
히로시마,고유명사,1
나가사키,고유명사,1
불기둥,일반명사,1
각인,일반명사,1
맨해튼,고유명사,1
프로젝트,일반명사,1
이끌,동사,1
강연,일반명사,1
죄,일반명사,1
심판대,일반명사,1
양면,일반명사,1
원자력,일반명사,1
에너지원,일반명사,1
체르노빌,고유명사,1
후쿠시마,고유명사,1
격리,일반명사,1
준위,일반명사,1
후대,일반명사,1
바닷물,일반명사,1
중수소,고유명사,1
원료,일반명사,1
장기,일반명사,1
우리나라,일반명사,1
고온,일반명사,1
플라즈마,일반명사,1
시사,일반명사,1
무너뜨리,동사,1
중학교,일반명사,1
교실,일반명사,1
혼란,일반명사,1
러시아,고유명사,1
드미트리,고유명사,1
순,일반명사,1
옥타브,일반명사,1
브로,고유명사,1
민,일반명사,1
리튬,일반명사,1
빈칸,일반명사,1
도드라지,동사,1
미지,일반명사,1
산화물,일반명사,1
끓는점,일반명사,1
붕소,고유명사,1
알루미늄,일반명사,1
독일,고유명사,1
게르마늄,일반명사,1
자신감,일반명사,1
비밀,일반명사,1
목격,일반명사,1
헬륨,일반명사,1
다양,일반명사,1
갈라놓,동사,1
누리,동사,1
목적,일반명사,1
유인원,일반명사,1
허리,일반명사,1
하,고유명사,1
고등,일반명사,1
진보,일반명사,1
열등,일반명사,1
적응,일반명사,1
찰스,고유명사,1
사회,일반명사,1
점검,일반명사,1
묵히,동사,1
앨프리드 월리스,고유명사,1
말레이,고유명사,1
제도,일반명사,1
열대림,일반명사,1
열병,일반명사,1
싸우,동사,1
월리스,고유명사,1
독창,일반명사,1
한탄,일반명사,1
이듬해,일반명사,1
적합,일반명사,1
자손,일반명사,1
지질학,일반명사,1
변이,일반명사,1
길어지,동사,1
대표,일반명사,1
각막,일반명사,1
수정체,일반명사,1
작품,일반명사,1
유무,일반명사,1
감지,일반명사,1
색소,일반명사,1
덧대,동사,1
고치,동사,1
분산,일반명사,1
최적,일반명사,1
보행,일반명사,1
무리,일반명사,1
아래쪽,일반명사,1
요통,일반명사,1
미봉책,일반명사,1
자락,일반명사,1
발달,일반명사,1
신경망,일반명사,1
수용기,일반명사,1
발화,일반명사,1
척수,일반명사,1
시상,일반명사,1
근육,일반명사,1
아프,형용사,1
통증,일반명사,1
데이비드 차머스,고유명사,1
부위,일반명사,1
활성,일반명사,1
상영,일반명사,1
알아차리,동사,1
떠올리,동사,1
자각,일반명사,1
층위,일반명사,1
편집,일반명사,1
지켜보,동사,1
휩쓸리,동사,1
위협,일반명사,1
착각,일반명사,1
잠식,일반명사,1
천지,일반명사,1
후자,일반명사,1
심리학,일반명사,1
확보,일반명사,1
넓히,동사,1
전유물,일반명사,1
최근,일반명사,1
돌고래,일반명사,1
흐릿하,형용사,1
두려움,일반명사,1
불,일반명사,1
후두엽,일반명사,1
달려가,동사,1
깜빡이,동사,1
업무,일반명사,1
질감,일반명사,1
단,일반명사,1
내디디,동사,1
소스라치,동사,1
휘청이,동사,1
본,일반명사,1
덧붙,동사,1
맡,동사,1
층,일반명사,1
시대순,일반명사,1
증축,일반명사,1
부풀리,동사,1
최악,일반명사,1
조상,일반명사,1
질,일반명사,1
낱낱,일반명사,1
갈래,일반명사,1
합창,일반명사,1
분주,일반명사,1
가상,일반명사,1
유기체,일반명사,1
수치심,일반명사,1
참조,일반명사,1
담장,일반명사,1
대물림,일반명사,1
벽지,일반명사,1
제임스,고유명사,1
프랜시스,고유명사,1
크릭,고유명사,1
아데닌,일반명사,1
티민,일반명사,1
구아닌,일반명사,1
사이토신,고유명사,1
염기,일반명사,1
결심,일반명사,1
생물학자,일반명사,1
보완,일반명사,1
수선,일반명사,1
보전,일반명사,1
닭,일반명사,1
달걀,일반명사,1
휘말리,동사,1
댐,일반명사,1
안팎,일반명사,1
소통,일반명사,1
창구,일반명사,1
질소,일반명사,1
바위,일반명사,1
무미건조,일반명사,1
생물,일반명사,1
교체,일반명사,1
바이러스,일반명사,1
숙주,일반명사,1
서열,일반명사,1
드물,형용사,1
오타,일반명사,1
변주,일반명사,1
직감,일반명사,1
여행자,일반명사,1
주목,일반명사,1
추가,일반명사,1
자원,일반명사,1
바닥나,동사,1
해내,동사,1
병렬,일반명사,1
큐,일반명사,1
내주,동사,1
원하,동사,1
끌,동사,1
피터,고유명사,1
쇼어,고유명사,1
암호,일반명사,1
상당,일반명사,1
어려움,일반명사,1
디지털,일반명사,1
거래,일반명사,1
자물쇠,일반명사,1
보안,일반명사,1
우월,일반명사,1
이점,일반명사,1
취약,일반명사,1
장벽,일반명사,1
고전역학,고유명사,1
휴대,일반명사,1
전화,일반명사,1
띄우,동사,1
그대로,일반명사,1
파일,일반명사,1
가을,일반명사,1
폭설,일반명사,1
한마디,일반명사,1
폰,고유명사,1
노이만,고유명사,1
토론,일반명사,1
공짜,일반명사,1
머릿속,일반명사,1
관념,일반명사,1
란다우어,일반명사,1
몰,동사,1
강제,일반명사,1
수로,일반명사,1
범주,일반명사,1
속하,동사,1
셈법,일반명사,1
알파고,고유명사,1
도전,일반명사,1
승리,일반명사,1
바둑,일반명사,1
기사,일반명사,1
형세,일반명사,1
눈빛,일반명사,1
개요,일반명사,1
초안,일반명사,1
귀하,일반명사,1
선정,일반명사,1
광고,일반명사,1
젖,동사,1
셔츠,일반명사,1
달라붙,동사,1
상술,일반명사,1
이웃,일반명사,1
끄집어내,동사,1
어조,일반명사,1
가려내,동사,1
예기,일반명사,1
유추,일반명사,1
강화,일반명사,1
화합물,일반명사,1
테스트,일반명사,1
익히,동사,1
영감,일반명사,1
재능,일반명사,1
루프,고유명사,1
프로세서,일반명사,1
메모리,일반명사,1
동원,일반명사,1
막다르,형용사,1
영토,일반명사,1
출발선,일반명사,1
깊어지,동사,1
척도,일반명사,1
시차,일반명사,1
민감,일반명사,1
위안,일반명사,1
미켈레,고유명사,1
베소,고유명사,1
유족,일반명사,1
성찰,일반명사,1
정신,일반명사,1
브레이크,일반명사,1
몰입,일반명사,1
휘발,일반명사,1
그리움,일반명사,1
도덕경,고유명사,1
대략,일반명사,1
안내,일반명사,1
내음,일반명사,1
노자,일반명사,1
결성,일반명사,1
보증,일반명사,1
현인,일반명사,1
이론가,일반명사,1
탐구자,일반명사,1
무효,일반명사,1
깨달음,일반명사,1
경외,일반명사,1
인도,고유명사,1
해부,일반명사,1
고정관념,일반명사,1
중심점,일반명사,1
명멸,일반명사,1
맥락,일반명사,1
덧칠,일반명사,1
영화,일반명사,1
필름,일반명사,1
가공,일반명사,1
그럴듯하,형용사,1
요약본,일반명사,1
맹목,일반명사,1
권하,동사,1
철저,일반명사,1
먼저,일반명사,1
사성제,일반명사,1
직시,일반명사,1
상정,일반명사,1
팔정도,일반명사,1
종교,일반명사,1
계율,일반명사,1
외피,일반명사,1
두르,동사,1
비틀리,동사,1
접점,일반명사,1
명상,일반명사,1
활동,일반명사,1
감소,일반명사,1
보고,일반명사,1
허무주의,일반명사,1
붙잡히,동사,1
완료,일반명사,1
구조물,일반명사,1
선행,일반명사,1
해묵,동사,1
벤저민,고유명사,1
피험자,일반명사,1
통보,일반명사,1
대변인,일반명사,1
직전,일반명사,1
결단,일반명사,1
자유거부,일반명사,1
